"iso2","year","sector","un","ets","country","ratio"
"BE",1992,"Residual",58942600.71,NA,"Belgium",NA
"BE",1992,"Transport",20669743.96,NA,"Belgium",NA
"BE",1992,"Total",122657810.58,NA,"Belgium",NA
"BE",1993,"Energy",28769050.88,NA,"Belgium",NA
"BE",1993,"Metals",14094488.5,NA,"Belgium",NA
"BE",1993,"Minerals",10364729.39,NA,"Belgium",NA
"BE",1993,"Chemicals",7966959.58,NA,"Belgium",NA
"BE",1993,"Paper",672024.44,NA,"Belgium",NA
"BE",1993,"Residual",59690031.66,NA,"Belgium",NA
"BE",1993,"Transport",21175013.15,NA,"Belgium",NA
"BE",1993,"Total",121557284.45,NA,"Belgium",NA
"BE",1994,"Energy",29867955.59,NA,"Belgium",NA
"BE",1994,"Metals",15428257.52,NA,"Belgium",NA
"BE",1994,"Minerals",10780062.82,NA,"Belgium",NA
"BE",1994,"Chemicals",9038172.73,NA,"Belgium",NA
"BE",1994,"Paper",715863.56,NA,"Belgium",NA
"BE",1994,"Residual",59107876.76,NA,"Belgium",NA
"BE",1994,"Transport",21661302.91,NA,"Belgium",NA
"BE",1994,"Total",124938188.98,NA,"Belgium",NA
"BE",1995,"Energy",29386218.06,NA,"Belgium",NA
"BE",1995,"Metals",15641141.45,NA,"Belgium",NA
"BE",1995,"Minerals",11134392.85,NA,"Belgium",NA
"BE",1995,"Chemicals",9461558.49,NA,"Belgium",NA
"BE",1995,"Paper",759410.6,NA,"Belgium",NA
"BE",1995,"Residual",59700242.7,NA,"Belgium",NA
"BE",1995,"Transport",21734143.55,NA,"Belgium",NA
"BE",1995,"Total",126082964.15,NA,"Belgium",NA
"BE",1996,"Energy",28658131.35,NA,"Belgium",NA
"BE",1996,"Metals",14699437.92,NA,"Belgium",NA
"BE",1996,"Minerals",10643225.54,NA,"Belgium",NA
"BE",1996,"Chemicals",9457775.89,NA,"Belgium",NA
"BE",1996,"Paper",726588.58,NA,"Belgium",NA
"BE",1996,"Residual",65398465.28,NA,"Belgium",NA
"BE",1996,"Transport",22140418.87,NA,"Belgium",NA
"BE",1996,"Total",129583624.56,NA,"Belgium",NA
"BE",1997,"Energy",27609157.78,NA,"Belgium",NA
"BE",1997,"Metals",13413399.35,NA,"Belgium",NA
"BE",1997,"Minerals",10980637.44,NA,"Belgium",NA
"BE",1997,"Chemicals",10260821.12,NA,"Belgium",NA
"BE",1997,"Paper",707125.79,NA,"Belgium",NA
"BE",1997,"Residual",61075683.15,NA,"Belgium",NA
"BE",1997,"Transport",22392491.58,NA,"Belgium",NA
"BE",1997,"Total",124046824.63,NA,"Belgium",NA
"BE",1998,"Energy",30340887.77,NA,"Belgium",NA
"BE",1998,"Metals",15153470.2,NA,"Belgium",NA
"BE",1998,"Minerals",10916108.07,NA,"Belgium",NA
"BE",1998,"Chemicals",10851705.16,NA,"Belgium",NA
"BE",1998,"Paper",751155.04,NA,"Belgium",NA
"BE",1998,"Residual",62271786.4,NA,"Belgium",NA
"BE",1998,"Transport",23074482.26,NA,"Belgium",NA
"BE",1998,"Total",130285112.64,NA,"Belgium",NA
"BE",1999,"Energy",26555203.53,NA,"Belgium",NA
"BE",1999,"Metals",14625537.97,NA,"Belgium",NA
"BE",1999,"Minerals",10654119.95,NA,"Belgium",NA
"BE",1999,"Chemicals",10716242.28,NA,"Belgium",NA
"BE",1999,"Paper",703565.1,NA,"Belgium",NA
"BE",1999,"Residual",61491032.59,NA,"Belgium",NA
"BE",1999,"Transport",23378835.11,NA,"Belgium",NA
"BE",1999,"Total",124745701.42,NA,"Belgium",NA
"BE",2000,"Energy",28425730.95,NA,"Belgium",NA
"BE",2000,"Metals",15377571.78,NA,"Belgium",NA
"BE",2000,"Minerals",11119430.85,NA,"Belgium",NA
"BE",2000,"Chemicals",10694072.74,NA,"Belgium",NA
"BE",2000,"Paper",737111.95,NA,"Belgium",NA
"BE",2000,"Residual",60440871.02,NA,"Belgium",NA
"BE",2000,"Transport",23733233.3,NA,"Belgium",NA
"BE",2000,"Total",126794789.29,NA,"Belgium",NA
"BE",2001,"Energy",26382223.52,NA,"Belgium",NA
"BE",2001,"Metals",14866450.95,NA,"Belgium",NA
"BE",2001,"Minerals",10481383.93,NA,"Belgium",NA
"BE",2001,"Chemicals",10269671.28,NA,"Belgium",NA
"BE",2001,"Paper",737338.46,NA,"Belgium",NA
"BE",2001,"Residual",63391937.71,NA,"Belgium",NA
"BE",2001,"Transport",24325939.26,NA,"Belgium",NA
"BE",2001,"Total",126129005.85,NA,"Belgium",NA
"BE",2002,"Energy",27819402.95,NA,"Belgium",NA
"BE",2002,"Metals",14673898.64,NA,"Belgium",NA
"BE",2002,"Minerals",10642045.84,NA,"Belgium",NA
"BE",2002,"Chemicals",9934729.77,NA,"Belgium",NA
"BE",2002,"Paper",762122.88,NA,"Belgium",NA
